	chr	source	feature	start	end	score	strand	frame	attribute	close_sites
0	1	havana	gene	11869	14409	.	+	.	" ""DDX11L1"""	[]
12	1	havana	gene	14404	29570	.	-	.	" ""WASH7P"""	[]
25	1	mirbase	gene	17369	17436	.	-	.	" ""MIR6859-1"""	[]
28	1	havana	gene	29554	31109	.	+	.	" ""MIR1302-2HG"""	[]
36	1	mirbase	gene	30366	30503	.	+	.	" ""MIR1302-2"""	[]
39	1	havana	gene	34554	36081	.	-	.	" ""FAM138A"""	[]
47	1	havana	gene	52473	53312	.	+	.	" ""OR4G4P"""	[]
50	1	havana	gene	57598	64116	.	+	.	" ""OR4G11P"""	[]
57	1	ensembl_havana	gene	65419	71585	.	+	.	" ""OR4F5"""	[]
76	1	ensembl_havana	gene	89295	133723	.	-	.	" ""AL627309.1"""	[]
99	1	havana	gene	89551	91105	.	-	.	" ""AL627309.3"""	[]
103	1	havana	gene	131025	134836	.	+	.	" ""CICP27"""	[]
106	1	havana	gene	135141	135895	.	-	.	" ""AL627309.6"""	[]
109	1	havana	gene	137682	137965	.	-	.	" ""AL627309.7"""	[]
112	1	havana	gene	139790	140339	.	-	.	" ""AL627309.2"""	[]
116	1	havana	gene	141474	173862	.	-	.	" ""AL627309.5"""	[]
144	1	ensembl	gene	157784	157887	.	-	.	" ""RNU6-1100P"""	[]
147	1	havana	gene	160446	161525	.	+	.	" ""AL627309.4"""	[]
151	1	havana	gene	182696	184174	.	+	.	" ""FO538757.1"""	[]
158	1	havana	gene	185217	195411	.	-	.	" ""WASH9P"""	[]
170	1	mirbase	gene	187891	187958	.	-	.	" ""MIR6859-2"""	[]
173	1	havana	gene	257864	359681	.	-	.	" ""AP006222.1"""	[]
198	1	havana_tagene	gene	266855	268655	.	+	.	" ""AP006222.2"""	[]
202	1	havana	gene	347982	348366	.	-	.	" ""RPL23AP24"""	[]
205	1	havana	gene	358857	366052	.	+	.	" ""AL732372.1"""	[]
215	1	havana	gene	365389	522928	.	-	.	" ""AL732372.2"""	[]
323	1	havana	gene	439870	440232	.	+	.	" ""WBP1LP7"""	[]
326	1	ensembl_havana	gene	450703	451697	.	-	.	" ""OR4F29"""	[]
334	1	havana	gene	487101	489906	.	+	.	" ""CICP7"""	[]
338	1	havana	gene	491225	493241	.	-	.	" ""AL732372.3"""	[]
342	1	ensembl	gene	516376	516479	.	-	.	" ""U6"""	[]
345	1	havana	gene	586071	827796	.	-	.	" ""AL669831.3"""	[]
420	1	havana	gene	587629	594768	.	+	.	" ""AC114498.1"""	[]
427	1	havana	gene	629062	629433	.	+	.	" ""MTND1P23"""	[]
430	1	havana	gene	629640	630683	.	+	.	" ""MTND2P28"""	[]
433	1	havana	gene	631074	632616	.	+	.	" ""MTCO1P12"""	[]
436	1	mirbase	gene	632325	632413	.	-	.	" ""AC114498.2"""	[]
439	1	havana	gene	632757	633438	.	+	.	" ""MTCO2P12"""	[]
442	1	havana	gene	633535	633741	.	+	.	" ""MTATP8P1"""	[]
445	1	havana	gene	633696	634376	.	+	.	" ""MTATP6P1"""	[]
448	1	havana	gene	634376	634922	.	+	.	" ""MTCO3P12"""	[]
451	1	havana	gene	674842	675265	.	+	.	" ""WBP1LP6"""	[]
454	1	ensembl_havana	gene	685679	686673	.	-	.	" ""OR4F16"""	[]
462	1	havana	gene	722092	724903	.	+	.	" ""CICP3"""	[]
466	1	havana	gene	725885	778626	.	-	.	" ""AL669831.1"""	[]
490	1	ensembl	gene	758233	758336	.	-	.	" ""RNU6-1199P"""	[]
493	1	havana	gene	760911	761989	.	+	.	" ""AL669831.2"""	[]
497	1	havana	gene	778747	810065	.	+	.	" ""LINC01409"""	[]
641	1	havana	gene	781937	782050	.	+	.	" ""AL669831.6"""	[]
644	1	havana	gene	800879	817712	.	-	.	" ""AL669831.4"""	[]
655	1	havana	gene	817371	819837	.	+	.	" ""FAM87B"""	[]
659	1	havana	gene	825138	868202	.	+	.	" ""LINC01128"""	[]
820	1	havana	gene	826206	827522	.	-	.	" ""LINC00115"""	[]
823	1	havana	gene	868071	876903	.	-	.	" ""FAM41C"""	[]
837	1	havana	gene	873292	874349	.	+	.	" ""TUBB8P11"""	[]
840	1	havana	gene	874529	877234	.	-	.	" ""AL669831.5"""	[]
847	1	havana	gene	904834	915976	.	+	.	" ""AL645608.6"""	[]
851	1	havana	gene	911435	914948	.	+	.	" ""AL645608.2"""	[]
