chr,start,end,no drugs avg,with drugs avg
1,39853461,39853731,0.920316153720848,0.35291516406150697
7,103893129,103893399,0.18139921049354396,0.11499387366417699
17,73842248,73842518,0.938439209192467,0.55083584031979
10,48586365,48586635,0.246452207562125,0.10183330932307999
2,79740121,79740391,0.100054121553104,0.181585828067864
11,798418,798688,0.145334049484876,0.10551922998414001
10,23371069,23371339,0.537710201392622,0.237705057628157
9,117026666,117026936,0.8295450279921809,0.380157145459054
10,13527244,13527514,0.920999983798118,0.29167844257250897
11,78971094,78971364,0.282635957678752,0.11191090772323899
12,55117697,55117967,0.138080714223784,0.125330022983338
11,126002423,126002693,0.336241085268372,0.14019033731934197
12,105219493,105219763,0.8334262098630508,0.430488022699762
9,131903048,131903318,0.260413221571391,0.122019809435026
1,241695084,241695354,0.355515728430214,0.10998639547744699
1,85462973,85463243,0.124036304939142,0.10217048213786199
2,222500943,222501213,0.246322346995208,0.102406881310377
16,31469458,31469728,0.404381805020512,0.123381312935288
14,106765317,106765587,0.174322141288024,0.14884119437284302
19,42044433,42044703,0.325538449797575,0.10569085544050802
1,19639039,19639309,0.107436557233528,0.10642649716164099
23,284291,284561,0.11386726196298999,0.136854415436163
5,180227572,180227842,0.944912315937052,0.45052511293308006
7,22588998,22589268,0.793094661653912,0.267913964618889
20,17661411,17661681,0.25931572564071,0.114122865709653
18,12377823,12378093,0.116943890388563,0.104534617842015
2,30557760,30558030,0.202853293050659,0.10307659019764301
7,1600237,1600507,0.720292350107529,0.310343137403154
11,62369385,62369655,0.10111514076322001,0.10416911719202
22,31573740,31574010,0.9610361953194592,0.33917642470664
8,27472338,27472455,0.14275323505126097,0.148723249083376
10,124070205,124070475,0.833743634810425,0.35710347984524
19,12075513,12075783,0.89327868402356,0.449808704950934
1,145039802,145040072,0.126573435858956,0.10325368579489899
16,2835696,2835966,0.914175889703725,0.43839217835360705
20,13201448,13201718,0.113968882955345,0.101816401050622
17,7486744,7487014,0.246868592932573,0.121753962946487
11,11642568,11642838,0.148022845465601,0.10803682770637499
18,47955736,47956006,0.182209369915155,0.106367293295015
2,165849593,165849863,0.269935691368041,0.16350133033375197
17,73842027,73842297,0.8998882442493679,0.487994050461626
3,65156246,65156516,0.17575330684687301,0.10359576040690198
1,103572436,103572706,0.261197934102062,0.111647597642233
17,21187440,21187710,0.126886530510833,0.107025352615059
11,706875,707145,0.105111759011239,0.10679823133275698
14,81329394,81329664,0.932369816246498,0.336390473745308
18,12419945,12420215,0.196855051587469,0.11834902142585199
15,79464393,79464663,0.22644881378669698,0.13511587258556698
11,45919115,45919385,0.854787837287149,0.331936643562272
8,3555031,3555301,0.13897000186659803,0.10408558402155
9,137304034,137304304,0.889074369274287,0.39124268078403895
9,20553022,20553292,0.9219691909229549,0.31486946855422304
10,95574135,95574405,0.40385818067866297,0.19801252714963802
1,234118590,234118860,0.724307008036109,0.27768259940948
11,81498606,81498876,0.15190458201655702,0.10378157429101899
19,588765,589035,0.192045519473815,0.106631917676624
6,7544297,7544567,0.6917179801809239,0.286500425093229
12,133066135,133066405,0.121402832540821,0.109871083742812
14,58481535,58481805,0.44934303649173707,0.15722893871719001
11,113404098,113404368,0.105593134931211,0.10201592734882699
10,73430505,73430775,0.530136479100604,0.216180255535388
20,42033550,42033820,0.214392687174876,0.10883754979151299
14,90403081,90403351,0.88935454597723,0.392744935884135
1,203597574,203597844,0.40343527989372996,0.11335910278904598
8,6321234,6321504,0.9109369416002471,0.3665929438149749
1,1282985,1283255,0.140296693677208,0.15568427902934198
10,112617467,112617737,0.7368740877250609,0.315094581348463
18,29077520,29077790,0.8788989065550591,0.427052369827723
20,18038186,18038456,0.126153931471088,0.101017629184621
10,105006138,105006408,0.8936366654841299,0.43463919293614
23,63138528,63138798,0.157103494190935,0.101042803157579
1,97658375,97658645,0.817168363544252,0.305371605688582
2,206550140,206550410,0.242586856254047,0.238286122083479
13,44361126,44361396,0.10520894371719199,0.104500837413262
9,71320670,71320940,0.123380956068254,0.10261270543329302
16,12010371,12010641,0.33395111308582803,0.10578360594215401
12,38938508,38938778,0.5366941984582321,0.200973402160393
7,69971590,69971860,0.206183113914469,0.113894672731573
7,861454,861724,0.9526777413146709,0.34214695671786505
3,123469669,123469939,0.7597674524931629,0.318312437195364
17,37829156,37829426,0.7617132642971541,0.35368337414102896
16,58052811,58053081,0.885963488138305,0.36998928594003205
6,169058812,169059082,0.281035514682186,0.10564842240869501
6,35940260,35940530,0.8388807925199521,0.43636919594030105
6,142872455,142872725,0.753280820080827,0.297408231461041
15,29743453,29743723,0.7300280800710541,0.328914400295888
11,64283828,64284098,0.11369218352892499,0.10276036764110198
8,76098143,76098413,0.544310340009741,0.182342410364853
23,13916266,13916536,0.614289127706687,0.310344671036972
11,64863457,64863727,0.116429920291599,0.13304454263082002
8,82192581,82192851,0.12343841585047599,0.112817072700804
7,52086204,52086474,0.280508999185533,0.12368436461844198
14,93999873,94000143,0.301631073461682,0.14427938396652099
17,33446344,33446614,0.23345048989135395,0.108156293048897
10,75647604,75647874,0.115031485240698,0.141824780169117
16,30545630,30545900,0.20172336567825697,0.126079378385591
4,174673789,174674059,0.6363827855890071,0.205376798123151
7,2768611,2768881,0.940898497263058,0.350456625890444
6,87861699,87861969,0.13015761016070698,0.103820508655593
23,12788581,12788851,0.12241138127295802,0.112038400770562
9,22009407,22009677,0.24821761447599602,0.17297600739782198
6,11413572,11413842,0.470276270225324,0.22493278921364396
1,145039598,145039868,0.116120524492574,0.100379779759746
4,3248305,3248575,0.8464559915082979,0.519946046168017
9,117145363,117145633,0.852304512512427,0.366146613378063
1,241694884,241695154,0.351803464841763,0.109090847546398
10,73499801,73500071,0.63279931768143,0.308363678583479
9,140129827,140130097,0.8179163070168058,0.48347276419997
17,15136400,15136670,0.813134566597842,0.378922845350849
2,47304009,47304279,0.615517107998035,0.284147211809481
13,31382665,31382935,0.7306748396302528,0.248679895084148
19,46430880,46431150,0.136049594299995,0.164943035061369
1,18648998,18649268,0.637058076392217,0.345508151683875
1,102900101,102900371,0.3381406658778,0.15108074542462901
19,42927015,42927285,0.396470747819861,0.10039265206815302
12,106695525,106695795,0.380710139409961,0.143287863638811
8,59801912,59802182,0.5211794315017809,0.225825440035382
1,220512999,220513269,0.46291847377258705,0.268270371512672
7,83824295,83824565,0.22083231723047,0.10436034390582699
7,139254820,139255090,0.922045526449497,0.46020776420662796
16,29828553,29828823,0.15909889480050501,0.125593306166689
22,37300364,37300634,0.43115412429915,0.16162991653218803
7,25990618,25990888,0.11807240716508399,0.115672968778244
9,6412848,6413118,0.128119649833249,0.10470952774977801
2,128785873,128786143,0.21310667860797897,0.13336424899880198
14,55022417,55022687,0.8346663741574749,0.36113587815155795
21,28216274,28216544,0.12266531823677301,0.11142400568949198
7,51147224,51147494,0.146874537002327,0.100186255657172
11,68109852,68110122,0.754679832991178,0.379018076070224
1,26336668,26336938,0.8866332723106259,0.39395099964202
3,166403091,166403361,0.15810543580596498,0.10360690300283698
13,91730408,91730678,0.255982678800078,0.10216745051855698
16,75519909,75520179,0.5318076639180821,0.291802765811817
14,105632301,105632571,0.8472105428629879,0.379569264138645
7,42131039,42131309,0.5686299718868599,0.267048678351388
19,5503671,5503941,0.399342351327902,0.10846516746331099
1,1534859,1535129,0.104640686594158,0.103015355232492
24,2803449,2803719,0.53590173795281,0.103323506369984
1,95007006,95007276,0.289106828250127,0.137795976025002
8,68371967,68372237,0.561050970459734,0.266743247527336
9,33158272,33158542,0.7953614301010999,0.29960305599544707
3,11608461,11608731,0.958374728384254,0.453236948205998
9,131410556,131410826,0.961713960225687,0.537245712085178
12,99232201,99232471,0.478610754418186,0.16594934433939001
3,4533958,4534228,0.9141296517881371,0.10304475763551699
19,11492716,11492986,0.13275132968203002,0.276142204735384
12,25272031,25272301,0.80566085826962,0.32999770706258
20,1617450,1617720,0.247756892278474,0.102473924590582
3,185445882,185446152,0.8839956053370329,0.36754302823962304
12,109210531,109210801,0.908319577345152,0.44566506338646206
