,chr,start,end,no drugs avg,with drugs avg,change
689,1.0,150895065.0,150895192.0,0.6526488491696372,0.368475478681261,0.2841733704883761
1039,1.0,246656074.0,246656160.0,0.751194408378552,0.453118812072502,0.29807559630604996
1253,1.0,233088730.0,233088970.0,0.944898546731697,0.667922477059605,0.2769760696720921
2628,1.0,193026870.0,193027400.0,0.928242136351121,0.6163940261388571,0.3118481102122639
2804,1.0,233088591.0,233089085.0,0.944898546731697,0.667922477059605,0.2769760696720921
3101,1.0,203597541.0,203598071.0,0.620139782212228,0.3698914965609,0.250248285651328
4140,1.0,94713652.0,94714182.0,0.800519129052609,0.516662440150699,0.2838566889019101
6955,1.0,41961302.0,41961542.0,0.699139766292245,0.42362590648897,0.27551385980327503
8418,1.0,223316819.0,223317059.0,0.49929438638197,0.21847245491663106,0.28082193146533896
8621,1.0,178211040.0,178211280.0,0.78468080263215,0.520328993520813,0.26435180911133704
8752,1.0,219717621.0,219717861.0,0.673039674340816,0.297031856022741,0.376007818318075
10336,1.0,150894867.0,150895413.0,0.6526488491696372,0.368475478681261,0.2841733704883761
11135,1.0,246655953.0,246656257.0,0.7656204194932958,0.5147165029591889,0.2509039165341069
17374,2.0,241527139.0,241527379.0,0.700076673325854,0.39824379169931,0.301832881626544
18382,2.0,192112447.0,192112687.0,0.7423599001936642,0.427149942775701,0.31520995741796315
19060,2.0,47140821.0,47141351.0,0.782063819955132,0.526114688822776,0.255949131132356
19898,2.0,153572471.0,153572652.0,0.749715230340855,0.461052212315027,0.28866301802582794
20083,2.0,47140596.0,47141126.0,0.8382795683596229,0.561571239132176,0.2767083292274469
20098,2.0,127865222.0,127865752.0,0.526394190161903,0.24036703055165,0.28602715961025305
21049,2.0,62080097.0,62080627.0,0.433221591740311,0.157733237491412,0.275488354248899
26724,3.0,4675153.0,4675377.0,0.7076927581417429,0.17848139295164894,0.5292113651900939
27203,3.0,46977105.0,46977309.0,0.904236103143943,0.6351797851537111,0.2690563179902319
27966,3.0,115377054.0,115377294.0,0.6712850385094219,0.337400845824716,0.3338841926847059
30255,3.0,49195566.0,49195942.0,0.853165101032014,0.576223295048819,0.2769418059831951
30770,3.0,88106878.0,88107118.0,0.781751785319213,0.3672753381973471,0.4144764471218659
32209,3.0,143694412.0,143694848.0,0.8187044784750791,0.563871448747058,0.25483302972802113
33341,3.0,98315823.0,98316063.0,0.915053840240806,0.5896932540619351,0.3253605861788709
33904,3.0,75721744.0,75722274.0,0.6340186884545079,0.36712592900198,0.26689275945252794
34042,3.0,185656012.0,185656542.0,0.90673321920204,0.5551248930991189,0.35160832610292103
34644,3.0,98315499.0,98316378.0,0.915053840240806,0.5896932540619351,0.3253605861788709
35492,3.0,75721539.0,75722069.0,0.6336679328867529,0.36730260381269497,0.266365329074058
36274,3.0,75721623.0,75721893.0,0.6335677369712049,0.367436728116382,0.2661310088548229
44099,5.0,55777683.0,55777923.0,0.6760010364441429,0.398278480771014,0.2777225556731289
47745,5.0,56110377.0,56110907.0,0.684137870099335,0.377937830451711,0.30620003964762404
52927,6.0,32162892.0,32163074.0,0.8694256467571991,0.537936916609181,0.33148873014801816
56470,6.0,36853320.0,36853757.0,0.530074138024528,0.198626577819363,0.33144756020516497
56936,6.0,126306792.0,126307322.0,0.649947354838064,0.3528174708859079,0.2971298839521561
57906,6.0,64281637.0,64281877.0,0.629664514985327,0.34459843540307594,0.2850660795822511
60532,7.0,26893584.0,26893653.0,0.6989968611625229,0.35133283079017,0.3476640303723529
61367,7.0,26893352.0,26893853.0,0.6989968611625229,0.35133283079017,0.3476640303723529
64386,7.0,116355199.0,116355439.0,0.842411746967574,0.5750210690985129,0.2673906778690611
64944,7.0,47620504.0,47620744.0,0.807705242649636,0.5330671861572129,0.274638056492423
65840,7.0,12725744.0,12725984.0,0.985913215977467,0.6977707070749789,0.28814250890248805
68645,8.0,102268074.0,102268344.0,0.5952774426616729,0.30442728261094804,0.2908501600507249
68962,8.0,87527111.0,87527641.0,0.722091645119722,0.452370878836901,0.26972076628282105
69387,8.0,38852771.0,38853011.0,0.8034466705062709,0.5467321623953539,0.256714508110917
74662,9.0,35729840.0,35729942.0,0.790151004856321,0.538479539553616,0.2516714653027049
78069,9.0,43686783.0,43687023.0,0.666767642206987,0.28783844343999104,0.37892919876699604
81097,10.0,75013324.0,75013854.0,0.769503422502532,0.477159632340165,0.292343790162367
82251,10.0,6193415.0,6193553.0,0.8586747893020921,0.581986144742937,0.2766886445591551
83006,10.0,82296047.0,82296287.0,0.569264994188168,0.313667138391339,0.25559785579682903
83810,10.0,71891997.0,71892527.0,0.554416142892785,0.27693595650735303,0.2774801863854319
84769,10.0,25306504.0,25306744.0,0.782779891778649,0.523813919211437,0.25896597256721204
87161,10.0,79110392.0,79110662.0,0.8165731483922841,0.548028918243427,0.2685442301488571
87450,10.0,6193442.0,6193682.0,0.8472582316130028,0.5953501411290429,0.2519080904839599
88882,11.0,85520922.0,85521192.0,0.939206983649782,0.6757771068815049,0.263429876768277
96547,12.0,113797677.0,113797917.0,0.8404217218746171,0.56843669486352,0.27198502701109706
96591,12.0,113797542.0,113798072.0,0.8404217218746171,0.56843669486352,0.27198502701109706
98414,12.0,133657384.0,133657624.0,0.999555226127102,0.641140508865312,0.3584147172617901
100111,12.0,133656971.0,133657211.0,0.99963413429828,0.619635547714536,0.3799985865837441
102363,12.0,133657231.0,133657761.0,0.9995595448494508,0.640079946383778,0.3594795984656729
103676,12.0,133657362.0,133657632.0,0.999555845375132,0.6409891646048579,0.3585666807702742
113184,15.0,73576432.0,73576764.0,0.7344433925657471,0.482841047490061,0.2516023450756861
113311,15.0,93443398.0,93443638.0,0.582226635159998,0.325581997718576,0.256644637441422
113570,15.0,81148795.0,81149057.0,0.98021657574239,0.0197294612402619,0.960487114502128
115021,15.0,93442658.0,93443194.0,0.766093830271115,0.456391029854052,0.309702800417063
115449,15.0,75080191.0,75080412.0,0.8087304252963922,0.521090273545446,0.2876401517509461
115630,15.0,73076468.0,73076939.0,0.5434653829704361,0.223827567975807,0.3196378149946291
116111,15.0,62351328.0,62351598.0,0.7270767482844871,0.4254495531264079,0.3016271951580792
116279,15.0,81148783.0,81149053.0,0.979133634473906,0.0198715810748106,0.9592620533990952
116281,15.0,26873381.0,26873621.0,0.7287148253201841,0.3622625105797879,0.3664523147403961
116293,15.0,93442843.0,93443083.0,0.766093830271115,0.456391029854052,0.309702800417063
116876,15.0,75080179.0,75080419.0,0.8091801750254629,0.520013407982624,0.2891667670428389
117208,15.0,93442658.0,93443209.0,0.582226635159998,0.325581997718576,0.256644637441422
120782,16.0,87350511.0,87350681.0,0.902322243443255,0.5569685133443321,0.3453537300989229
121484,16.0,14109859.0,14110099.0,0.7810684016379,0.506886164226944,0.27418223741095604
123859,17.0,40336329.0,40336859.0,0.7023216055346899,0.421215292217588,0.28110631331710195
124476,17.0,30668047.0,30668577.0,0.54122421631632,0.24357946784667606,0.29764474846964395
124584,17.0,42275818.0,42276088.0,0.881415949025231,0.598978795439422,0.28243715358580895
131761,18.0,74773976.0,74774246.0,0.7771730266702621,0.4802743700374579,0.2968986566328042
134674,19.0,43297614.0,43298025.0,0.321737728943245,0.0632158989182529,0.2585218300249921
136667,19.0,41283124.0,41283364.0,0.614457957265167,0.311125414033472,0.30333254323169506
136769,19.0,43297752.0,43297855.0,0.321737728943245,0.0632158989182529,0.2585218300249921
139038,19.0,8066770.0,8067010.0,0.839016935357873,0.515913524740899,0.323103410616974
139205,19.0,54937712.0,54938242.0,0.7057351813418241,0.405848267754368,0.29988691358745617
142448,20.0,52825994.0,52826234.0,0.878201874979063,0.627797515014589,0.250404359964474
143752,20.0,35402544.0,35403078.0,0.839188595572043,0.51946744181915,0.3197211537528929
143893,20.0,52825845.0,52826375.0,0.878201874979063,0.627797515014589,0.250404359964474
144460,21.0,44867477.0,44867747.0,0.7416953745852679,0.00527349908200407,0.7364218755032639
144615,21.0,44689403.0,44689673.0,0.36222812172489705,4.939112043654161e-07,0.3622276278136927
144767,21.0,44866637.0,44867167.0,0.7377202815385009,0.00477346376119685,0.7329468177773041
144847,21.0,44839438.0,44839678.0,1.0,0.00272868642487531,0.9972713135751248
144875,21.0,44866543.0,44866783.0,0.73569854362826,0.00459644461031861,0.7311020990179414
144930,21.0,44882935.0,44883175.0,0.6884235830938239,0.0815133010047507,0.6069102820890732
145102,21.0,44882886.0,44883156.0,0.6887413905843399,0.0808011941427346,0.6079401964416054
145286,21.0,44847203.0,44847473.0,1.0,0.0014173448468418,0.9985826551531582
145307,21.0,44866437.0,44866967.0,0.736044863470539,0.00462460013470999,0.7314202633358291
145370,21.0,44839474.0,44839551.0,1.0,0.00280681928982087,0.9971931807101792
145391,21.0,44847209.0,44847449.0,1.0,0.00141791970309602,0.998582080296904
145412,21.0,44859447.0,44859717.0,0.596848137127053,0.00196892067712127,0.5948792164499317
145583,21.0,44859426.0,44859666.0,0.591548498446754,0.0019334229829664,0.5896150754637876
145749,21.0,44882772.0,44883302.0,0.6887413905843399,0.0808011941427346,0.6079401964416054
145820,21.0,44866540.0,44866810.0,0.735785758565417,0.00460346104946923,0.7311822975159478
146813,22.0,17255408.0,17255938.0,0.600080264313134,0.00851110075245862,0.5915691635606753
146938,22.0,24389587.0,24389795.0,0.992944825334725,0.06190301642874501,0.93104180890598
147290,22.0,17264865.0,17265395.0,0.292616792143367,0.0128355186142559,0.2797812735291111
147296,22.0,20613204.0,20613336.0,0.540351260266935,0.0943276475731287,0.4460236126938063
147776,22.0,20545648.0,20545888.0,0.4162087196440639,0.144831247620755,0.2713774720233089
148556,22.0,20548561.0,20548674.0,0.4162087196440639,0.144831247620755,0.2713774720233089
148785,22.0,20548415.0,20548853.0,0.4162087196440639,0.144831247620755,0.2713774720233089
151795,22.0,24384781.0,24384849.0,0.998356599804194,0.238201902764288,0.7601546970399061
153731,22.0,17264804.0,17265065.0,0.292476317263122,0.0143171499449585,0.27815916731816354
